Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1960,1196.7,1082.9,109,304,195
1961,*,*,95,*,*
1962,*,*,247,*,*
1963,*,*,*,*,*
1964,*,*,254,*,*
1965,1416.1,1312,96,315,219
1966,1251.7,1211.5,110,313,203
1967,1306.7,1211,96,309,213
1968,*,*,187,*,*
1969,*,*,101,*,*
1970,*,*,216,*,*
1971,1517.7,1225,92,293,201
1972,*,1259.2,113,*,*
1973,*,*,*,*,*
1974,*,*,*,*,*
1975,*,*,*,*,*
1976,*,1232.9,101,*,*
1977,1244.8,1136.6,120,310,190
1978,1331.8,1248.7,95,298,203
1979,1269.7,1188.6,92,304,212
1980,992.2,941,114,317,203
1981,1319.5,1283,92,306,214
1982,1040.1,923.7,105,307,202
1983,832.7,717.3,92,278,186
1984,1119.8,1071.4,99,305,206
1985,1230.7,1104.8,92,300,208
1986,1137.3,1095.3,113,324,211
1987,1014.8,965,143,307,164
1988,1050.8,1030.6,116,304,188
1989,1712.1,1510.6,144,312,168
1990,939.5,914.8,103,300,197
1991,1487.6,1324.8,110,316,206
1992,917.7,861.1,94,307,213
1993,1161.8,1132.3,112,299,187
1994,1137.7,1127,124,319,195
1995,1279.8,1206.4,122,317,195
1996,1115.7,1110.9,109,301,192
1997,1302.6,1219.8,112,310,198
1998,1173.6,1170.9,102,300,198
1999,1069.2,996.8,120,313,193
2000,1262.4,1242.3,101,310,209
2001,1052.6,1052.6,107,301,194
2002,1067.4,1011,108,296,188
2003,1607.2,1554,97,305,208
2004,1533.3,1401.8,111,297,186
2005,1325,1271.8,110,312,202
2006,927.2,916.7,114,306,192
2007,1158.1,1096.2,92,317,225
2008,*,1326.2,140,*,*
2009,1490.6,1437.2,92,324,232
2010,1431.6,1396.5,96,323,227
2011,1383.7,1253.2,128,304,176
2012,1265.4,1198.4,99,319,220
2013,1014.3,905.6,107,285,178
