Year,StartDate,Start,EndDate,End,Length,Rainfall
1957, null, null, null, null, null,  null
1958,392,210,100,284,75,950
1959,380,198,78,262,65,673
1960,354,172,88,272,101,548
1961,356,174,121,305,132,840
1962,346,164,119,303,140,877
1963,326,144,110,294,151,996
1964,323,141,87,271,131,698
1965,367,185,109,293,109,888
1966,352,170,88,272,103,601
1967,345,163,111,295,133,800
1968,414,232,94,278,47,585
1969,366,184,121,305,122,925
1970,371,189,95,279,91,743
1971,355,173,118,302,130,1074
1972,389,207,97,281,75,574
1973,382,200,112,296,97,635
1974,376,194,113,297,104,945
1975,367,185,117,301,117,649
1976,385,203,116,300,98,839
1977,378,196,115,299,104,356
1978,374,192,120,304,113,1004
1979,355,173,114,298,126,948
1980,414,232,111,295,64,641
1981,379,197,113,297,101,1049
1982,406,224,119,303,80,669
1983,377,195,118,302,108,942
1984,379,197,105,289,93,511
1985,388,206,115,299,94,556
1986,365,183,120,304,122,983
1987,394,212,118,302,91,569
1988,388,206,119,303,98,821
1989,408,226,120,304,79,1064
1990,442,260,116,300,41,255
1991,415,233,119,303,71,664
1992, null, null,100,284, null,264
1993,497,315,null, null, null,  null
1994,436,254,117,301,48,547
1995,412,230,109,293,64,489
1996,452,270,121,305,36,366
1997,409,227,121,305,79,704
1998,411,229,113,297,69,550
1999,444,262,117,301,40,424
2000,447,265,121,305,41,426
2001,389,207,121,305,99,908
2002,441,259,119,303,45,558
2003,443,261,120,304,44,668
2004, null, null,114,298, null,217
2005,449,267,113,297,31,522
2006,420,238,118,302,65,284
2007,433,251,121,305,55,473
2008,437,255,121,305,51,846
2009,469,287,117,301,15,505
2010,441,259,120,304,46,272
2011,435,253,111,295,43,394
2012,467,285,121,305,21,384
2013,429,247,114,298,52,480
2014,471,289,117,301,13,240
2015,474,292,121,305,14,495
2016, null, null,117,301, null,197
2017,445,263,121,305,43,252
2018,438,256,103,287,32,168
2019, null, null,null, null, null,  null
