Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1960,1039.8,1025.9,101,295,194
1961,817.8,817.5,126,289,163
1962,*,*,107,*,*
1963,1244.1,1146.8,114,297,183
1964,923.2,896.3,136,299,163
1965,962.2,936.5,98,299,201
1966,976.4,965.9,114,302,188
1967,863,835.7,124,297,173
1968,1081.3,946.7,110,282,172
1969,1079.4,1076.9,98,311,213
1970,969.2,968.7,99,291,192
1971,1172.8,1112.3,109,299,190
1972,914.7,911.6,95,282,187
1973,1272.6,1269,107,296,189
1974,977,914.7,118,289,171
1975,888.2,887.9,124,286,162
1976,1010.5,992.2,120,324,204
1977,670.5,631.8,139,285,146
1978,1217.5,1180.7,105,308,203
1979,1014.2,1009.6,129,290,161
1980,*,939.4,117,302,185
1981,*,816.7,129,*,*
1982,1021.2,940.6,123,296,173
1983,720,719,117,278,161
1984,852.3,843.1,106,281,175
1985,964.5,964.5,151,294,143
1986,1225.2,1210,139,297,158
1987,1133.1,1047.6,153,292,139
1988,843.9,791.3,116,286,170
1989,1161.8,1118.8,110,300,190
1990,870.7,823.4,128,280,152
1991,979.7,945.7,118,282,164
1992,*,1032.8,101,295,194
1993,*,*,105,*,*
1994,1001.2,968.9,141,299,158
1995,687.6,681,117,275,158
1996,1103.4,1102.3,134,298,164
1997,861,853.5,127,286,159
1998,855.6,835.9,138,299,161
1999,1365.3,1359.7,138,306,168
2000,991.1,990.1,162,297,135
2001,959.7,959.7,107,281,174
2002,896.2,876,102,303,201
2003,1140,1131.2,137,310,173
2004,1044.4,1014.2,99,285,186
2005,750.3,745.8,155,278,123
2006,876.9,869.1,114,303,189
2007,1203.8,1203.8,103,287,184
2008,1022.7,1014.9,112,300,188
2009,920.2,886.2,125,296,171
2010,1167.4,1143.1,113,312,199
2011,1089,1087.8,114,292,178
2012,988,987.1,103,295,192
2013,922.7,910.6,113,295,182
