Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0.0,22.6,37.8,2.5,0.0,4.1,0.0,4.6,0.0,0.5,0.0,0.0,0.0,2.5,6.9,67.3,0.0,10.4,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.4,5.7,0.0,3.9,3.9,62.2,0.0,5.0,11.6,6.3,0.0,0.0,0.0,33.8,0.0,24.2,35.6,35.7,9.4,0,0,0.0,27,0,7.2,10.6,0,0
0.0,0.0,8.6,6.1,6.9,0.0,0.0,20.8,0.0,5.3,0.0,18.3,0.0,0.0,0.0,0.0,0.0,6.1,1.5,0.0,0.0,4.5,0.6,0.0,0.0,0.0,53.7,3.5,0.0,0.0,0.0,24.8,0.0,17.2,3.1,12.9,0.0,17.2,10.3,0.0,0.0,18.0,0.0,25.0,0.0,0.0,11.8,91.2,0.0,0,0,0.0,0.2,6.3,12.7,1.6,0,0
0.0,0.0,12.4,60.5,18.0,0.0,0.0,5.1,0.0,0.0,7.4,7.9,2.0,0.0,0.0,0.5,0.0,0.0,0.0,49.8,0.0,0.0,0.0,0.0,6.6,0.0,1.1,57.6,0.0,0.0,0.0,36.0,0.5,3.7,0.0,38.8,0.0,1.0,0.0,0.4,0.0,0.0,0.0,42.5,0.0,14.2,0.0,56.1,0.0,0.1,0,0.0,0,0,27.3,14.1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,35.6,0.8,0.0,44.7,1.8,0.0,0.0,0.5,7.1,0.0,0.0,5.5,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.6,0.6,0.0,1.3,28.0,1.6,0.0,18.0,3.6,5.0,0.0,0.0,3.3,32.5,0.0,0.0,0.0,21.2,0.0,27.3,0,8.2,0,0,4.3,3.2,0,0
28.7,8.9,0.0,0.0,0.0,1.0,0.0,1.8,0.0,28.4,0.0,15.7,4.8,0.0,20.8,0.0,11.2,0.0,4.1,0.0,0.0,0.0,24.6,0.0,0.4,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.4,0.0,3.3,0.0,63.8,0.0,0.2,0,0.0,0,9.3,9.3,16.4,0,8
5.1,0.0,0.0,0.0,41.1,0.0,0.0,0.0,0.0,13.7,20.1,0.0,0.0,0.0,3.8,0.0,0.0,13.5,1.5,0.0,35.8,0.0,31.2,10.6,9.2,1.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,4.9,0.0,0.0,11.5,3.9,0.0,0.0,0.0,0.2,0.0,0.0,46.4,25.7,11.7,0.6,0,0.0,9.7,82.1,0.4,57.2,0,0
0.0,0.0,10.4,12.4,0.0,13.2,0.0,0.0,9.4,21.1,10.4,7.4,0.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,20.8,0.0,19.8,0.0,0.0,17.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,36.2,0,0.4,8.5,24.2,0,48.6,0,25.5
0.0,0.0,17.8,0.0,12.7,4.6,6.4,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.9,0.0,0.0,0.0,15.7,8.4,15.2,0.0,32.2,0.0,0.0,11.8,1.0,0.0,25.0,2.4,22.4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,21.3,3.3,4.2,0.0,15.5,0.0,0.0,0.0,0.0,3.8,18.1,0,0.8,4.4,6.4,22.6,0,19.8,0,0
0.0,7.9,4.6,0.0,5.1,0.0,10.7,8.9,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,6.1,0.0,56.1,1.3,0.0,3.2,20.0,0.0,0.0,38.4,0.0,0.0,0.1,7.3,4.4,16.0,0.7,34.0,0.0,21.5,0.0,2.3,0.0,2.6,0.0,0.0,8.5,21.5,0.0,0.0,0.0,24.9,10.0,0,1.3,0.0,0,22.7,0,18.7,0,2.8
0.0,2.3,5.3,0.0,0.0,0.0,5.1,15.2,0.0,0.3,0.0,0.0,2.8,10.2,1.8,0.0,9.1,0.0,0.0,0.0,0.8,14.9,65.0,0.0,0.0,1.6,0.0,0.0,103.4,18.7,0.0,14.8,0.0,17.9,0.0,2.0,0.0,0.0,0.0,51.5,16.6,0.0,0.0,22.3,0.0,0.0,18.4,0.0,91.0,0,0,0.0,1.2,14,0,0,0,0
