Site,Year,AmountApril,AmountMay,DaysApril,DaysMay
Damango,1960,965.8000002,850.9999998,63,52
Damango,1961,685.3999996,566.7,43,38
Damango,1962,917.2999992,785.3999994,64,55
Damango,1963,1240.3,1104.3,76,68
Damango,1964,714.7999997,566.3999996,54,47
Damango,1965,1197.7,1047.1,66,58
Damango,1966,242.8,242.8,17,17
Damango,1967,697.6999998,697.6999998,50,50
Damango,1968,993.0999992,799.1999996,55,48
Damango,1969,*,*,*,*
Damango,1970,804.0999994,804.0999994,52,52
Damango,1971,1112.2,1056.9,59,54
Damango,1972,825.1999996,741.0999997,56,51
Damango,1973,786.7999995,786.7999995,53,53
Damango,1974,937.5999992,937.5999992,64,64
Damango,1975,1080.7,942.4999998,56,51
Damango,1976,754.9999995,693.7999992,40,36
Damango,1977,878.6999998,798.2999997,49,45
Damango,1978,649.3999999,502.8000001,43,38
Damango,1979,954.8999991,926.6999993,58,57
Damango,1980,998.9999998,868.8000002,51,45
Damango,1981,881.5000005,839.0000005,50,45
Damango,1982,810.0999999,671.2000003,50,42
Damango,1983,710.7000003,667.4000001,47,45
Damango,1984,1067.2,871.5999997,48,43
Damango,1985,1067.2,963.5000005,60,55
Damango,1986,925.5999999,806.3999999,58,51
Damango,1987,1034.7,1005.5,64,61
Damango,1988,1073.1,962.1999998,59,52
Damango,1989,1058.7,979.3000002,70,63
Damango,1990,787.6999996,685.3999996,51,45
Damango,1991,1038.1,923.7000003,71,66
Damango,1992,948.1999998,712.3,53,46
Damango,1993,1069.2,1009.6,64,59
Damango,1994,883.9000003,817.2000003,55,50
Damango,1995,936.0999999,821,65,58
Damango,1996,1082.2,867.5,50,42
Damango,1997,830.6000001,742.3,52,45
Damango,1998,632.1000001,548.2000005,53,47
Damango,1999,1089.7,958.4000001,61,54
Damango,2000,1048.599999,917.2999997,59,52
Damango,2001,674.0999997,614.8999996,52,46
Damango,2002,884.8000004,807.3999999,58,52
Damango,2003,993.8999996,847.0999997,60,54
Damango,2004,973.1999996,771.6999996,67,57
Damango,2005,867.4999998,763,54,47
Damango,2006,755.3999996,707.1999996,55,51
Damango,2007,841.5,720.9000001,64,54
Damango,2008,1171.6,1087.2,56,51
Damango,2009,983.1000011,879.6000006,54,48
Damango,2010,1038.099999,919.5999994,56,51
Damango,2011,974.4000008,949.7000005,59,54
Damango,2012,835,751.7,54,49
Damango,2013,692.5999999,608.7000003,46,38
Damango,2014,*,*,*,*
