Year,Total Rain,Total Rainfall SeasonA,StartSeason_A,EndSeason_A,Length_of_Season_A
1976,796.1,782.1,129,276,147
1977,786.4,738.7,110,293,183
1978,1018.4,980.1,99,280,181
1979,*,*,103,*,*
1980,923.3,912.1,105,283,178
1981,692.3,686,114,277,163
1982,*,*,123,*,*
1983,907.7,869.7,92,291,199
1984,928,837.5,99,285,186
1985,674.3,670.1,104,275,171
1986,469.3,442.1,92,281,189
1987,622.6,600.1,109,275,166
1988,509.5,478.8,116,275,159
1989,1114.1,1067.7,166,300,134
1990,759.3,746.1,133,286,153
1991,1043.8,1023.5,118,287,169
1992,899.3,894.5,125,283,158
1993,984.4,962.6,121,289,168
1994,*,1000.9,107,*,*
1995,885.3,839.9,114,290,176
1996,993.8,987.4,105,307,202
1997,805.5,799.2,95,284,189
1998,825.7,825.7,109,306,197
1999,*,*,*,*,*
2000,1026.1,1021.6,107,309,202
2001,792,780.8,123,292,169
2002,855.4,841.5,119,294,175
2003,1108.2,1083.9,130,292,162
2004,856,815.5,92,277,185
2005,917.6,906.5,104,297,193
2006,808.3,807.9,114,307,193
2007,1236,1209.2,108,291,183
2008,1058.8,1041.4,117,306,189
2009,900.5,887,137,306,169
2010,1026.3,1003.8,113,316,203
2011,804,796.9,143,298,155
2012,954.1,932.2,103,309,206
2013,1031.9,961.2,94,301,207
