y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
9999,0.8,0.8,0.0,32.3,0.0,0,0,0.5,4.1,22.6,0,9.1,0.3,27.7,0.0,25.6,3.5,0,0.2,0,35.8,0,2.8,0,20.7,1.8,3.7,8.7,0.6,27.9,0,0,0,0,7.3,1.2,0,23.3,0,8.7,26,30.1,4,13.5,0,2,6.8,0,29.9,14.9
9999,3.0,12.4,0.0,1.3,6.9,31.2,15.2,0,41.4,5.6,103.6,8.9,1,5.3,7.4,0.0,7.5,0,0.4,0,8.5,4,0,0,25.9,11.5,0,13.4,0,0,5,22.2,21.6,0,0,0,3.6,35,0,0,12.5,16.4,0,0,0,0,19.5,21.3,16.1,0
9999,30.0,0.5,0.0,14.7,7.1,15,6.1,0,11.2,36.6,0,23.1,51.8,13.5,0.0,0.0,0.5,0,0.9,0,0.1,50.2,0,43.5,13.1,6.5,0.5,21.6,5.2,18.7,0,0.2,4.6,101.1,0,0.7,0,19.5,0,3.5,1.5,24.9,3.7,2.5,0,0,0,3.3,0,40.1
9999,0.0,0.5,0.0,0.0,0.0,30,6.4,2,9.7,1.5,0,5.3,2.5,12.4,0.8,0.0,4.1,0.7,0,0,5,3.7,23.8,1,2.9,11.3,0,65.3,46.4,14.7,0,10.8,7.4,16.7,0,0.1,0,7.2,0,0,5.5,1.9,38,16.2,0,15.5,5.1,22.5,3.9,6.4
9999,0.0,0.3,0.0,94.2,0.0,10.7,0,0,18,0,8.4,19.6,1.5,0,6.9,0.0,0.7,2,0,0,25,0,40.2,0,13.2,28.8,10.7,52.2,3.4,6.4,22,6.8,33.6,7.4,5.5,0,0,9.8,0,0,0,31.2,0,9.5,0,1,17.8,39.1,0,41.5
9999,22.1,5.1,21.6,10.7,1.3,0.3,1.8,0.5,0,4.1,16,30.7,0,0,5.8,0.0,1.2,0,0,27.9,12,0,0,1.1,0,14.4,0.6,0,1.2,0,0,2.1,0,24.2,0,0,0,0,0,0,78.5,23.2,1.5,0,9,5,79.4,10.1,33.2,20
9999,1.5,19.1,16.5,0.5,4.3,8.4,26.2,0,0,0,15.7,0.5,0.3,0,31.2,5.1,40.2,0,11.5,0,5.3,0,5,0.7,0.4,0,0,0.3,0,0,0,1.4,0,4,0,0,0,0,2.8,4.4,0.2,1.8,0,18.5,19.6,55.7,1.7,24.7,0.1,2.1
9999,0.0,0.0,0.0,18.3,0.3,13.7,6.9,0.3,1,0,0,0,12.7,0,11.4,5.1,8,0,0,17.5,0,0,7.6,3.2,60.3,2.1,0,0,0,0,0,1.3,1.4,28.1,7.2,0,0,5.2,1.4,0,0,21.9,0,9,0,0.5,0,3.9,0,11.5
9999,0.0,11.9,0.0,15.5,0.0,2.3,0,9.1,20.3,0,0,0,0.3,2,0.0,0.0,25,0,0,16.1,0,4,1.5,1.2,23.8,26.2,2,0,0,5.6,1.3,2.9,0,18.3,23,0,4.9,21,10.9,39.2,0,2.2,10,45,0,0,0,2.2,0,0
9999,5.3,4.1,0.0,5.1,0.0,0,0.8,22.4,19.8,0,6.6,11.2,1,0,0.0,4.0,5.8,17.5,0,1.6,0,0,13,2.5,0,14.2,0,38.6,0,0,0,0,0,28.6,32.9,0,0,9.4,1.4,13,13.9,0,26.5,0,0,0,18.2,8.1,14.9,1.5
9999,0.5,0.0,19.1,5.1,0.0,18,3.8,10.2,0.8,0,1,50.3,5.1,0,0.0,11.0,17.2,0,0,5,6.3,0,1.6,0,16.6,1.1,0,34.4,0,6,0,10.3,28.7,0,10.9,1.7,0,49.3,8.8,0,9,0.9,26,1.5,0,46.2,0,8.5,13.2,84.5
9999,0.0,0.0,0.5,2.3,0.0,6.4,4.6,1.8,8.4,2.5,0,0,0,0,0.0,0.0,0,0,6.4,11,49.7,0,14.6,0,14.8,18.4,0,43.9,1.1,0,39.6,0,0.6,1,42.5,1.8,17.4,0.1,18,1.5,2,0,33.5,0.5,0,17,0,0.4,3.4,398
9999,0.0,0.0,9.9,5.8,0.0,2.8,29.5,20.3,2,29.2,0.5,0,0.5,0,0.0,1.7,0,23,22,0,1,0,0,0,1.7,28.9,4.3,27.4,0,0,3.9,2.4,16.1,57,0,27.8,24,0,0,4.6,9.5,0,19.3,0,0,5.4,0.5,0.2,12.3,36.5
9999,0.0,3.3,25.9,51.8,4.3,20.6,16,10.2,3,21.1,33.3,0,20.8,12.7,0.0,0.8,0,0,59.2,21.9,0,15,4.7,4.4,11.6,0,0,3.4,5.9,0,2.2,62.5,26.1,36.5,3,16,39.7,0,0,0.7,21,0.7,19.8,0,0,4.5,18.6,0,8.5,11.5
9999,0.0,0.0,3.0,6.6,23.6,0.3,27.9,0.8,0,0,9.7,0,5.8,0,0.0,5.1,0,0,14.4,0,0,0,22.5,5.6,8.7,0,37,0.8,0,5.4,15.7,38.9,0,5.1,3.3,11.3,7.1,0,7.6,0.5,15,0,3.5,14.5,0,2.5,0.5,32.2,1.7,0.9
9999,6.4,0.0,0.0,57.4,10.9,0,10.2,0,17.8,19.8,0,0,14.7,0,0.0,27.0,0,0,0,0,29.5,1,16.3,3.7,29.8,3.1,10.4,8.3,0,15.6,21.2,6.7,0.8,16.7,0,1.7,0,0,0,0,28,0,14,10,11,0,3.3,0,0,0
9999,1.5,0.3,0.0,2.8,11.7,51.3,0.5,0,4.6,0,55.4,0.5,21.8,9.7,0.0,0.0,17,0,0,0,0,1.7,0,0.2,11.6,25.5,25.7,11,0,23.5,0.3,1,5,40,23,19.3,28.8,0,0,4.4,0,0,16.7,0,1.2,6.1,0,32.5,0,17.2
9999,5.3,31.5,0.0,41.4,23.6,0.3,3.8,0,9.4,0,1,10.9,4.1,0,0.0,3.0,9,3,0,1.3,8.9,4.1,11.3,0,8.8,0.2,0,0.2,0,27.2,0,77.3,12.1,29.3,27.3,7.2,3.5,3.9,21.6,15,1.8,12.6,3,18.5,11.1,6.9,21.8,9.7,0,12
9999,0.0,0.0,2.3,0.0,14.5,1.3,0,0,3.6,21.8,18.5,8.1,1.8,0,0.0,0.0,17.2,0,0,0,8,19,5,0,7.1,0,39.8,0,0,12.1,3.7,1.7,0,32,38,0,0,12.7,3.9,0,0,102.1,0.4,45,1.4,0,10.8,0,0,0
9999,0.0,12.2,6.1,4.8,19.3,20.1,38.4,0,0.3,0,0.8,6.6,4.1,0,1.5,0.0,6.3,0,0,0.5,36.6,45,2.4,0,0.7,10.8,9.1,0,0,28.2,0,20.5,6.1,3.4,0,0,82,2.2,22.1,47.5,2.2,4.9,37.5,0.6,19,0,30,1.7,15.9,0
9999,8.1,0.0,10.4,0.0,0.0,78.7,0,0.3,0,13.2,1.5,2,12.4,1.3,0.0,0.3,0,1.5,0,40,0,3.1,0,7.2,0,0,0,2.6,6.5,6,18.5,1.2,0,0,0,0,0.9,3.3,38.5,6.4,7,4.8,3.5,0,27.8,1,53.9,0.3,7.7,0
9999,0.0,0.0,0.0,19.8,0.0,36.6,0.8,14.7,0,8.6,6.9,11.9,6.4,4.6,0.0,1.0,0.2,48,0.5,23,4,31.5,7.8,20,1.5,0,0,13.7,18.3,0.5,0,18.7,6.8,5,0,0,1.6,0.5,16.4,12.5,1.3,0,10,12.5,0,2.5,10.8,1.5,1.7,1.5
9999,0.0,6.1,27.7,0.0,4.8,1,45.7,24.6,2.5,1.5,0,0.5,1.8,6.4,0.0,0.0,7.4,58,0,2,23.4,31.3,0.6,25.5,5.3,0,5.4,6.2,25.3,0,0.7,15.7,11.2,3,0,0,0,14.5,0.4,0,0,0,18,11.5,3.9,0,8.2,1.8,0.7,0
9999,1.5,2.5,10.9,0.0,2.5,0.3,0,4.1,4.1,0,2,0,0,0.8,1.0,0.0,16.4,0,0,0.5,38.1,4,14.2,4.7,4.5,0,10,50.8,34.6,0,5.4,31.2,2.9,17.7,0,0,0,2.8,0,22.5,3,0,36.1,0,0,0.5,0,0.2,1.7,0
9999,25.9,2.8,0.0,4.8,0.0,4.8,30.2,10.9,21.3,0,0,5.1,1.3,0,1.5,0.0,0.7,1,0,79.1,47,6,0,5.6,11.2,37.2,3.9,14.8,64,0.6,30.9,10.7,11.1,8.1,22,6.6,2.2,10.3,5.9,15,36.5,0.5,0,33,0,24.7,21,0,0.4,87
9999,0.8,4.8,0.0,0.5,1.3,33,0,0,19.1,5.1,0,0,0,0,4.8,1.0,15,17.5,46.7,0.4,11.4,0.3,14,11.8,0.4,10.8,0,4.1,0,28.9,0,0,28.1,7.9,36,4.8,0,0,15.5,0,21.8,13.6,30.5,0,1.2,1.1,0,0,0,29.7
9999,0.0,7.6,16.8,12.7,0.3,24.6,0.3,1.8,1.3,0.5,71.1,36.1,1,0,0.0,0.0,0,13,0,0,19,26.9,21.5,0.6,5.6,0.5,0,4.3,0.3,13.7,25.1,28.5,2.7,4,0.2,13.1,0,0,0.9,10.5,3.7,0.7,3.2,0,1.1,13.1,21.5,0,15.2,0
9999,2.5,1.0,0.0,5.1,0.0,0.8,23.6,0,20.1,3.3,1.5,16.5,0,0.5,0.0,0.0,0,3.3,0,1,1,0.9,1,11,0,1.2,2.6,0.1,1.2,0,0.5,17.1,4.6,8.4,8.4,7,19.5,0,19.8,1.4,0.5,16.4,8,0,0.6,0.4,0,31.6,5.2,0
