Site,Year,AmountApril,AmountMay,DaysApril,DaysMay,StartDryApril
Bole,1960,1863.198093,1538.094278,26,20,92
Bole,1961,*,*,*,*,*
Bole,1962,1006.688556,879.0871254,69,59,107
Bole,1963,1113.193324,957.8914169,75,67,94
Bole,1964,824.5918938,752.4904633,61,55,109
Bole,1965,*,*,*,*,*
Bole,1966,680.0895096,562.297139,64,55,111
Bole,1967,716.4952316,592.1957085,55,48,111
Bole,1968,1416.198093,1269.797139,90,81,97
Bole,1969,989.2899864,813.3914169,72,65,92
Bole,1970,732.2923706,666.297139,61,56,112
Bole,1971,882.4000001,820.9000001,60,54,152
Bole,1972,974.5871254,899.6933243,66,61,113
Bole,1973,902.5918938,817.1957085,65,58,92
Bole,1974,955.1980927,839.9000001,63,56,116
Bole,1975,983.9856949,849.9856949,62,55,101
Bole,1976,615.1957085,542.6957085,48,40,112
Bole,1977,724.4000001,683.5,58,53,132
Bole,1978,608.2899864,464.1980927,49,42,92
Bole,1979,1030.896185,1030.896185,65,65,132
Bole,1980,839.5918938,806.4952316,55,53,117
Bole,1981,1043.896185,976.6957085,66,59,112
Bole,1982,964.1957085,875.9976158,61,53,97
Bole,1983,636.8961853,567.5966621,52,49,141
Bole,1984,940.8938011,806.8985695,60,54,99
Bole,1985,1082.183788,1004.292371,71,63,121
Bole,1986,833.9880791,773.3914169,59,52,137
Bole,1987,817.297139,766.8961853,65,60,133
Bole,1988,871.7828339,791.5847412,61,55,101
Bole,1989,1117.386649,1064.193324,73,67,155
Bole,1990,935.3890328,791.8890328,67,57,105
Bole,1991,1279,1089.9,69,59,100
Bole,1992,706.297139,689.297139,51,47,133
Bole,1993,888.297139,741.4976158,56,49,139
Bole,1994,695.3938011,653.1957085,53,49,121
Bole,1995,811.9976158,717.8938011,55,50,101
Bole,1996,853.8866486,728.2923706,59,51,135
Bole,1997,959.2947548,784.1980927,57,50,92
Bole,1998,800.1861717,709.3890328,52,44,95
Bole,1999,1007.896185,865.2947548,62,56,97
Bole,2000,1005.19094,940.0895096,66,59,108
Bole,2001,809.7000005,664.7000003,55,46,106
Bole,2002,1034.198093,938.1957085,68,60,95
Bole,2003,1032.4,908.1000001,59,52,97
Bole,2004,950.5000002,802.0000005,65,57,218
Bole,2005,967.3938011,871.6957085,59,52,98
Bole,2006,929.5000002,758.7947548,63,54,114
Bole,2007,842.9000003,671.7000003,64,56,93
Bole,2008,803.5990463,718.5990463,64,59,139
Bole,2009,952.8961853,888.2995232,63,55,120
Bole,2010,1031,919.2995232,59,54,120
Bole,2011,847.5990463,774.3000002,61,57,110
Bole,2012,1007.5,871.2,61,55,92
Bole,2013,767.5990463,661.7995232,47,42,96
Bole,2014,*,*,*,*,*
